City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
52,Puerto Ayora,EC,2020-01-06 04:36:26,-0.74,-90.35,75.99,82,3,5.99,clear sky,0.0,0.0
53,Karratha,AU,2020-01-06 04:36:32,-20.74,116.85,87.76,65,56,7.83,broken clouds,0.0,0.0
54,Sao Luiz Gonzaga,BR,2020-01-06 04:44:44,-28.41,-54.96,71.82,71,0,8.28,clear sky,0.0,0.0
55,Hermanus,ZA,2020-01-06 04:36:55,-34.42,19.24,63.0,89,100,6.8,overcast clouds,0.0,0.0
56,Mioveni,RO,2020-01-06 04:44:44,44.96,24.94,27.27,57,31,4.23,scattered clouds,0.0,0.0
57,Merauke,ID,2020-01-06 04:44:45,-8.49,140.4,79.03,88,100,5.99,overcast clouds,0.0,0.0
58,Bredasdorp,ZA,2020-01-06 04:36:44,-34.53,20.04,64.4,72,100,3.36,overcast clouds,0.0,0.0
59,Mar Del Plata,AR,2020-01-06 04:35:43,-46.43,-67.52,54.63,43,49,19.28,scattered clouds,0.0,0.0
60,Leirvik,NO,2020-01-06 04:44:45,59.78,5.5,46.99,100,100,12.75,light rain,1.5,0.0
61,Luanda,AO,2020-01-06 04:43:47,-8.83,13.24,78.8,88,20,4.7,few clouds,0.0,0.0
62,Ahuimanu,US,2020-01-06 04:44:46,21.44,-157.84,77.0,73,75,12.75,broken clouds,0.0,0.0
63,Biak,ID,2020-01-06 04:38:49,-0.91,122.88,79.14,77,100,7.49,light rain,1.5,0.0
64,Tasiilaq,GL,2020-01-06 04:36:54,65.61,-37.64,19.15,90,100,37.16,light snow,0.0,1.31
65,Sao Joao Da Barra,BR,2020-01-06 04:37:37,-21.64,-41.05,75.54,91,63,4.16,broken clouds,0.0,0.0
66,Hithadhoo,MV,2020-01-06 04:36:52,-0.6,73.08,84.07,74,100,14.07,light rain,0.88,0.0
67,Sioux Lookout,CA,2020-01-06 04:40:11,50.1,-91.92,19.4,72,90,10.29,light snow,0.0,0.0
68,Hobart,AU,2020-01-06 04:33:08,-42.88,147.33,77.0,52,20,18.34,few clouds,0.0,0.0
69,Arraial Do Cabo,BR,2020-01-06 04:37:26,-22.97,-42.02,76.1,87,99,6.44,overcast clouds,0.0,0.0
70,Atuona,PF,2020-01-06 04:36:55,-9.8,-139.03,79.77,77,79,11.95,light rain,2.63,0.0
71,Port Alfred,ZA,2020-01-06 04:35:49,-33.59,26.89,69.01,93,99,1.72,overcast clouds,0.0,0.0
72,Rongcheng,CN,2020-01-06 04:44:48,37.16,122.42,44.01,64,100,11.32,light rain,0.31,0.0
73,Palmer,AU,2020-01-06 04:36:46,-34.85,139.16,79.0,52,0,17.22,clear sky,0.0,0.0
74,Port Elizabeth,US,2020-01-06 04:37:18,39.31,-74.98,36.0,59,75,4.83,broken clouds,0.0,0.0
75,Cobija,BR,2020-01-06 04:44:49,-11.02,-68.77,71.29,97,93,1.72,overcast clouds,0.0,0.0
76,Mandalgovi,MN,2020-01-06 04:33:55,45.76,106.27,12.94,79,57,3.06,broken clouds,0.0,0.0
77,Xinzhou,CN,2020-01-06 04:44:49,38.41,112.73,26.98,90,93,3.47,overcast clouds,0.0,0.0
78,Laela,TZ,2020-01-06 04:44:49,-8.57,32.05,69.46,76,100,0.51,overcast clouds,0.0,0.0
79,Port-Gentil,GA,2020-01-06 04:36:48,-0.72,8.78,82.09,76,99,5.1,overcast clouds,0.0,0.0
80,Laguna,BZ,2020-01-06 04:38:24,16.17,-88.94,73.4,73,75,4.7,broken clouds,0.0,0.0
81,Wewak,PG,2020-01-06 04:44:50,-3.55,143.63,83.61,75,98,6.93,overcast clouds,0.0,0.0
82,Provideniya,RU,2020-01-06 04:37:13,64.42,-173.23,-11.72,72,49,7.02,scattered clouds,0.0,0.0
83,Upernavik,GL,2020-01-06 04:38:16,72.79,-56.15,-30.66,98,94,16.02,overcast clouds,0.0,0.0
84,Tiznit,MA,2020-01-06 04:44:51,29.7,-9.73,46.24,79,0,0.29,clear sky,0.0,0.0
85,Dikson,RU,2020-01-06 04:37:15,73.51,80.55,16.21,93,100,19.08,light snow,0.0,0.62
86,San Patricio,PY,2020-01-06 04:37:15,-26.98,-56.83,76.33,60,0,8.05,clear sky,0.0,0.0
87,Ngunguru,NZ,2020-01-06 04:36:42,-35.62,174.5,70.0,53,4,13.0,clear sky,0.0,0.0
88,Haines Junction,CA,2020-01-06 04:38:36,60.75,-137.51,-4.65,99,98,1.86,light snow,0.0,0.19
89,Sal Rei,CV,2020-01-06 04:44:52,16.18,-22.92,68.0,64,97,16.11,haze,0.0,0.0
90,Kavaratti,IN,2020-01-06 04:33:25,10.57,72.64,84.2,58,20,4.7,few clouds,0.0,0.0
91,Saint George,GR,2020-01-06 04:36:52,39.45,22.34,42.8,56,75,9.17,broken clouds,0.0,0.0
92,Jumla,NP,2020-01-06 04:44:52,29.28,82.18,47.75,19,29,3.42,scattered clouds,0.0,0.0
93,Mirabad,IR,2020-01-06 04:44:53,28.27,61.33,53.55,73,100,12.62,moderate rain,3.12,0.0
94,Avarua,CK,2020-01-06 04:36:33,-21.21,-159.78,80.6,88,100,4.7,overcast clouds,0.0,0.0
95,Katsuura,JP,2020-01-06 04:37:05,33.93,134.5,50.0,46,75,10.29,broken clouds,0.0,0.0
96,Aksay,KZ,2020-01-06 04:44:53,51.17,53.01,24.26,95,99,8.23,overcast clouds,0.0,0.0
97,Luwuk,ID,2020-01-06 04:44:54,-0.95,122.79,79.14,77,100,7.49,light rain,1.5,0.0
98,Acapulco,MX,2020-01-06 04:38:48,16.86,-99.88,80.6,78,40,2.24,scattered clouds,0.0,0.0
99,Torbay,CA,2020-01-06 04:36:41,47.66,-52.73,32.0,100,90,32.21,light snow,0.0,0.0
100,Sao Filipe,CV,2020-01-06 04:36:30,14.9,-24.5,68.77,66,53,20.15,broken clouds,0.0,0.0
101,Butaritari,KI,2020-01-06 04:36:36,3.07,172.79,85.26,77,100,19.93,heavy intensity rain,13.31,0.0
102,Praia Da Vitoria,PT,2020-01-06 04:38:03,38.73,-27.07,62.6,82,75,21.16,broken clouds,0.0,0.0
103,Pisco,PE,2020-01-06 04:36:34,-13.71,-76.2,69.8,83,68,12.75,broken clouds,0.0,0.0
104,Dzerzhinsk,RU,2020-01-06 04:44:55,56.24,43.46,25.0,85,75,4.47,broken clouds,0.0,0.0
105,Georgetown,GY,2020-01-06 04:36:48,6.8,-58.16,68.0,94,0,2.24,clear sky,0.0,0.0
106,Mataura,NZ,2020-01-06 04:33:26,-46.19,168.86,48.99,89,100,21.99,light rain,3.0,0.0
107,Gijon,ES,2020-01-06 04:44:56,43.54,-5.66,41.0,86,0,9.17,clear sky,0.0,0.0
108,Caravelas,BR,2020-01-06 04:39:53,-17.73,-39.27,71.42,94,100,4.85,light rain,1.25,0.0
109,Nalut,LY,2020-01-06 04:44:57,31.86,10.98,47.88,86,59,8.99,light rain,0.19,0.0
110,Namibe,AO,2020-01-06 04:36:50,-15.19,12.15,73.13,85,78,9.44,broken clouds,0.0,0.0
111,Vila Velha,BR,2020-01-06 04:40:14,-3.71,-38.6,86.0,78,75,5.82,broken clouds,0.0,0.0
112,New Norfolk,AU,2020-01-06 04:37:16,-42.78,147.06,73.99,52,20,18.34,few clouds,0.0,0.0
